t,e1,e2,e3,b1,b2,b3,d1,d2,d3
0.0108333333,0.0000013887,0.0000000000,0.0000013182,0.0000086199,0.0000000000,-0.0000082248,0.0023412275,0.0000000000,-0.0021615148
0.0110000000,0.0000014723,0.0000000000,0.0000013953,0.0000090159,0.0000000000,-0.0000085899,0.0024101506,0.0000000000,-0.0022194428
0.0111666667,0.0000015594,0.0000000000,0.0000014754,0.0000094233,0.0000000000,-0.0000089646,0.0024799042,0.0000000000,-0.0022777199
0.0113333333,0.0000016501,0.0000000000,0.0000015586,0.0000098425,0.0000000000,-0.0000093491,0.0025504785,0.0000000000,-0.0023363236
0.0115000000,0.0000017446,0.0000000000,0.0000016450,0.0000102735,0.0000000000,-0.0000097434,0.0026218636,0.0000000000,-0.0023952317
0.0116666667,0.0000018428,0.0000000000,0.0000017346,0.0000107164,0.0000000000,-0.0000101475,0.0026940496,0.0000000000,-0.0024544217
0.0118333333,0.0000019449,0.0000000000,0.0000018275,0.0000111715,0.0000000000,-0.0000105615,0.0027670265,0.0000000000,-0.0025138707
0.0120000000,0.0000020509,0.0000000000,0.0000019237,0.0000116388,0.0000000000,-0.0000109855,0.0028407839,0.0000000000,-0.0025735560
0.0121666667,0.0000021610,0.0000000000,0.0000020233,0.0000121184,0.0000000000,-0.0000114194,0.0029153117,0.0000000000,-0.0026334546
0.0123333333,0.0000022752,0.0000000000,0.0000021262,0.0000126106,0.0000000000,-0.0000118633,0.0029905993,0.0000000000,-0.0026935431
0.0125000000,0.0000023935,0.0000000000,0.0000022326,0.0000131153,0.0000000000,-0.0000123172,0.0030666362,0.0000000000,-0.0027537985
0.0126666667,0.0000025161,0.0000000000,0.0000023426,0.0000136328,0.0000000000,-0.0000127812,0.0031434118,0.0000000000,-0.0028141971
0.0128333333,0.0000026431,0.0000000000,0.0000024560,0.0000141631,0.0000000000,-0.0000132553,0.0032209153,0.0000000000,-0.0028747156
0.0130000000,0.0000027744,0.0000000000,0.0000025731,0.0000147064,0.0000000000,-0.0000137395,0.0032991358,0.0000000000,-0.0029353301
0.0131666667,0.0000029103,0.0000000000,0.0000026938,0.0000152628,0.0000000000,-0.0000142337,0.0033780623,0.0000000000,-0.0029960169
0.0133333333,0.0000030507,0.0000000000,0.0000028181,0.0000158324,0.0000000000,-0.0000147381,0.0034576838,0.0000000000,-0.0030567520
0.0135000000,0.0000031958,0.0000000000,0.0000029462,0.0000164154,0.0000000000,-0.0000152526,0.0035379891,0.0000000000,-0.0031175116
0.0136666667,0.0000033456,0.0000000000,0.0000030779,0.0000170118,0.0000000000,-0.0000157773,0.0036189668,0.0000000000,-0.0031782715
0.0138333333,0.0000035002,0.0000000000,0.0000032135,0.0000176217,0.0000000000,-0.0000163121,0.0037006056,0.0000000000,-0.0032390075
0.0140000000,0.0000036597,0.0000000000,0.0000033528,0.0000182453,0.0000000000,-0.0000168570,0.0037828940,0.0000000000,-0.0032996954
0.0141666667,0.0000038241,0.0000000000,0.0000034960,0.0000188827,0.0000000000,-0.0000174120,0.0038658203,0.0000000000,-0.0033603108
0.0143333333,0.0000039935,0.0000000000,0.0000036429,0.0000195339,0.0000000000,-0.0000179771,0.0039493728,0.0000000000,-0.0034208295
0.0145000000,0.0000041680,0.0000000000,0.0000037938,0.0000201991,0.0000000000,-0.0000185522,0.0040335399,0.0000000000,-0.0034812268
0.0146666667,0.0000043477,0.0000000000,0.0000039486,0.0000208784,0.0000000000,-0.0000191375,0.0041183094,0.0000000000,-0.0035414785
0.0148333333,0.0000045325,0.0000000000,0.0000041072,0.0000215719,0.0000000000,-0.0000197327,0.0042036696,0.0000000000,-0.0036015598
0.0150000000,0.0000047227,0.0000000000,0.0000042698,0.0000222796,0.0000000000,-0.0000203380,0.0042896082,0.0000000000,-0.0036614463
0.0151666667,0.0000049181,0.0000000000,0.0000044363,0.0000230018,0.0000000000,-0.0000209532,0.0043761131,0.0000000000,-0.0037211134
0.0153333333,0.0000051190,0.0000000000,0.0000046068,0.0000237383,0.0000000000,-0.0000215784,0.0044631721,0.0000000000,-0.0037805364
0.0155000000,0.0000053254,0.0000000000,0.0000047812,0.0000244895,0.0000000000,-0.0000222134,0.0045507728,0.0000000000,-0.0038396907
0.0156666667,0.0000055372,0.0000000000,0.0000049596,0.0000252553,0.0000000000,-0.0000228583,0.0046389027,0.0000000000,-0.0038985517
0.0158333333,0.0000057547,0.0000000000,0.0000051420,0.0000260358,0.0000000000,-0.0000235129,0.0047275493,0.0000000000,-0.0039570947
0.0160000000,0.0000059778,0.0000000000,0.0000053283,0.0000268311,0.0000000000,-0.0000241773,0.0048167000,0.0000000000,-0.0040152952
0.0161666667,0.0000062066,0.0000000000,0.0000055186,0.0000276414,0.0000000000,-0.0000248513,0.0049063422,0.0000000000,-0.0040731284
0.0163333333,0.0000064411,0.0000000000,0.0000057129,0.0000284666,0.0000000000,-0.0000255350,0.0049964629,0.0000000000,-0.0041305699
0.0165000000,0.0000066814,0.0000000000,0.0000059111,0.0000293068,0.0000000000,-0.0000262282,0.0050870495,0.0000000000,-0.0041875950
0.0166666667,0.0000069276,0.0000000000,0.0000061133,0.0000301622,0.0000000000,-0.0000269309,0.0051780888,0.0000000000,-0.0042441793
0.0168333333,0.0000071797,0.0000000000,0.0000063195,0.0000310329,0.0000000000,-0.0000276429,0.0052695680,0.0000000000,-0.0043002982
0.0170000000,0.0000074377,0.0000000000,0.0000065295,0.0000319188,0.0000000000,-0.0000283643,0.0053614739,0.0000000000,-0.0043559274
0.0171666667,0.0000077017,0.0000000000,0.0000067435,0.0000328200,0.0000000000,-0.0000290949,0.0054537934,0.0000000000,-0.0044110424
0.0173333333,0.0000079718,0.0000000000,0.0000069614,0.0000337367,0.0000000000,-0.0000298347,0.0055465132,0.0000000000,-0.0044656189
0.0175000000,0.0000082479,0.0000000000,0.0000071832,0.0000346689,0.0000000000,-0.0000305834,0.0056396199,0.0000000000,-0.0045196327
0.0176666667,0.0000085301,0.0000000000,0.0000074088,0.0000356166,0.0000000000,-0.0000313412,0.0057331004,0.0000000000,-0.0045730597
0.0178333333,0.0000088185,0.0000000000,0.0000076382,0.0000365799,0.0000000000,-0.0000321078,0.0058269410,0.0000000000,-0.0046258759
0.0180000000,0.0000091130,0.0000000000,0.0000078715,0.0000375589,0.0000000000,-0.0000328832,0.0059211283,0.0000000000,-0.0046780571
0.0181666667,0.0000094137,0.0000000000,0.0000081085,0.0000385536,0.0000000000,-0.0000336672,0.0060156486,0.0000000000,-0.0047295796
0.0183333333,0.0000097207,0.0000000000,0.0000083492,0.0000395641,0.0000000000,-0.0000344597,0.0061104885,0.0000000000,-0.0047804195
0.0185000000,0.0000100340,0.0000000000,0.0000085936,0.0000405904,0.0000000000,-0.0000352606,0.0062056340,0.0000000000,-0.0048305533
0.0186666667,0.0000103535,0.0000000000,0.0000088417,0.0000416326,0.0000000000,-0.0000360699,0.0063010716,0.0000000000,-0.0048799574
