t,e1,e2,e3,b1,b2,b3,d1,d2,d3
0.5160000000,0.0006700862,0.0000227418,0.0000009894,0.0014323678,-0.0001196110,-0.0000101806,-0.0256026191,-0.0058731884,-0.0017427999
0.5161666667,0.0006703000,0.0000228342,0.0000010276,0.0014280797,-0.0001205859,-0.0000104734,-0.0258544968,-0.0058257782,-0.0017710180
0.5163333333,0.0006705180,0.0000229267,0.0000010668,0.0014237496,-0.0001215529,-0.0000107709,-0.0261058229,-0.0057780279,-0.0017992104
0.5165000000,0.0006707401,0.0000230193,0.0000011070,0.0014193778,-0.0001225119,-0.0000110731,-0.0263565899,-0.0057299419,-0.0018273689
0.5166666667,0.0006709664,0.0000231120,0.0000011482,0.0014149641,-0.0001234629,-0.0000113800,-0.0266067905,-0.0056815246,-0.0018554855
0.5168333333,0.0006711970,0.0000232048,0.0000011904,0.0014105088,-0.0001244057,-0.0000116916,-0.0268564173,-0.0056327805,-0.0018835519
0.5170000000,0.0006714317,0.0000232976,0.0000012336,0.0014060120,-0.0001253405,-0.0000120079,-0.0271054631,-0.0055837140,-0.0019115599
0.5171666667,0.0006716708,0.0000233904,0.0000012778,0.0014014737,-0.0001262670,-0.0000123288,-0.0273539206,-0.0055343294,-0.0019395015
0.5173333333,0.0006719141,0.0000234831,0.0000013231,0.0013968940,-0.0001271852,-0.0000126544,-0.0276017824,-0.0054846315,-0.0019673685
0.5175000000,0.0006721618,0.0000235758,0.0000013694,0.0013922731,-0.0001280952,-0.0000129846,-0.0278490412,-0.0054346246,-0.0019951527
0.5176666667,0.0006724138,0.0000236685,0.0000014168,0.0013876110,-0.0001289968,-0.0000133194,-0.0280956899,-0.0053843133,-0.0020228459
0.5178333333,0.0006726702,0.0000237611,0.0000014652,0.0013829078,-0.0001298900,-0.0000136589,-0.0283417211,-0.0053337023,-0.0020504401
0.5180000000,0.0006729310,0.0000238535,0.0000015147,0.0013781638,-0.0001307747,-0.0000140029,-0.0285871276,-0.0052827960,-0.0020779272
