t,e1,e2,e3,b1,b2,b3,d1,d2,d3
0.1035000000,0.0068459653,0.0002241440,0.0000000211,0.0051450615,0.0004192824,0.0000017047,-0.0354730530,-0.0142357259,0.0002418011
0.1036666667,0.0068302499,0.0002216217,0.0000000204,0.0051391527,0.0004169165,0.0000017443,-0.0354323149,-0.0141554213,0.0002332568
0.1038333333,0.0068145707,0.0002191278,0.0000000197,0.0051332506,0.0004145639,0.0000017825,-0.0353916234,-0.0140755691,0.0002248676
0.1040000000,0.0067989274,0.0002166619,0.0000000191,0.0051273554,0.0004122245,0.0000018192,-0.0353509787,-0.0139961670,0.0002166318
0.1041666667,0.0067833200,0.0002142238,0.0000000185,0.0051214669,0.0004098984,0.0000018547,-0.0353103807,-0.0139172123,0.0002085474
0.1043333333,0.0067677485,0.0002118131,0.0000000180,0.0051155852,0.0004075854,0.0000018888,-0.0352698293,-0.0138387025,0.0002006127
0.1045000000,0.0067522127,0.0002094295,0.0000000175,0.0051097103,0.0004052854,0.0000019216,-0.0352293244,-0.0137606352,0.0001928259
0.1046666667,0.0067367126,0.0002070727,0.0000000170,0.0051038421,0.0004029984,0.0000019531,-0.0351888661,-0.0136830078,0.0001851854
0.1048333333,0.0067212480,0.0002047425,0.0000000166,0.0050979806,0.0004007243,0.0000019833,-0.0351484542,-0.0136058179,0.0001776892
0.1050000000,0.0067058190,0.0002024385,0.0000000162,0.0050921259,0.0003984631,0.0000020123,-0.0351080887,-0.0135290630,0.0001703357
0.1051666667,0.0066904254,0.0002001604,0.0000000159,0.0050862779,0.0003962146,0.0000020401,-0.0350677695,-0.0134527407,0.0001631232
0.1053333333,0.0066750671,0.0001979079,0.0000000156,0.0050804366,0.0003939787,0.0000020667,-0.0350274966,-0.0133768486,0.0001560498
0.1055000000,0.0066597440,0.0001956807,0.0000000153,0.0050746020,0.0003917555,0.0000020921,-0.0349872700,-0.0133013842,0.0001491139
0.1056666667,0.0066444562,0.0001934787,0.0000000150,0.0050687741,0.0003895449,0.0000021164,-0.0349470896,-0.0132263451,0.0001423138
0.1058333333,0.0066292034,0.0001913014,0.0000000148,0.0050629529,0.0003873467,0.0000021395,-0.0349069553,-0.0131517289,0.0001356477
0.1060000000,0.0066139857,0.0001891486,0.0000000145,0.0050571384,0.0003851609,0.0000021616,-0.0348668671,-0.0130775333,0.0001291140
0.1061666667,0.0065988029,0.0001870200,0.0000000143,0.0050513306,0.0003829874,0.0000021826,-0.0348268249,-0.0130037559,0.0001227109
0.1063333333,0.0065836549,0.0001849154,0.0000000142,0.0050455294,0.0003808262,0.0000022025,-0.0347868287,-0.0129303944,0.0001164368
0.1065000000,0.0065685417,0.0001828344,0.0000000140,0.0050397350,0.0003786772,0.0000022214,-0.0347468784,-0.0128574463,0.0001102900
0.1066666667,0.0065534632,0.0001807769,0.0000000138,0.0050339471,0.0003765403,0.0000022393,-0.0347069740,-0.0127849095,0.0001042690
0.1068333333,0.0065384193,0.0001787425,0.0000000137,0.0050281659,0.0003744155,0.0000022562,-0.0346671154,-0.0127127815,0.0000983719
0.1070000000,0.0065234099,0.0001767310,0.0000000136,0.0050223914,0.0003723027,0.0000022721,-0.0346273025,-0.0126410602,0.0000925972
0.1071666667,0.0065084351,0.0001747421,0.0000000135,0.0050166234,0.0003702017,0.0000022870,-0.0345875354,-0.0125697431,0.0000869433
0.1073333333,0.0064934945,0.0001727756,0.0000000134,0.0050108621,0.0003681127,0.0000023011,-0.0345478140,-0.0124988280,0.0000814085
0.1075000000,0.0064785883,0.0001708312,0.0000000133,0.0050051075,0.0003660354,0.0000023142,-0.0345081381,-0.0124283127,0.0000759913
0.1076666667,0.0064637163,0.0001689088,0.0000000133,0.0049993594,0.0003639698,0.0000023264,-0.0344685079,-0.0123581949,0.0000706900
0.1078333333,0.0064488784,0.0001670079,0.0000000132,0.0049936179,0.0003619159,0.0000023378,-0.0344289231,-0.0122884724,0.0000655031
0.1080000000,0.0064340746,0.0001651284,0.0000000132,0.0049878830,0.0003598736,0.0000023482,-0.0343893838,-0.0122191430,0.0000604290
0.1081666667,0.0064193048,0.0001632701,0.0000000131,0.0049821547,0.0003578428,0.0000023579,-0.0343498898,-0.0121502044,0.0000554662
0.1083333333,0.0064045689,0.0001614327,0.0000000131,0.0049764330,0.0003558235,0.0000023667,-0.0343104413,-0.0120816544,0.0000506130
0.1085000000,0.0063898668,0.0001596160,0.0000000130,0.0049707179,0.0003538155,0.0000023748,-0.0342710380,-0.0120134909,0.0000458680
0.1086666667,0.0063751984,0.0001578197,0.0000000130,0.0049650093,0.0003518189,0.0000023820,-0.0342316800,-0.0119457117,0.0000412296
0.1088333333,0.0063605638,0.0001560436,0.0000000130,0.0049593073,0.0003498335,0.0000023885,-0.0341923671,-0.0118783147,0.0000366964
0.1090000000,0.0063459627,0.0001542875,0.0000000130,0.0049536118,0.0003478594,0.0000023943,-0.0341530994,-0.0118112976,0.0000322668
0.1091666667,0.0063313951,0.0001525512,0.0000000130,0.0049479229,0.0003458964,0.0000023993,-0.0341138768,-0.0117446584,0.0000279393
0.1093333333,0.0063168610,0.0001508344,0.0000000130,0.0049422405,0.0003439444,0.0000024036,-0.0340746993,-0.0116783948,0.0000237125
0.1095000000,0.0063023602,0.0001491369,0.0000000130,0.0049365646,0.0003420035,0.0000024072,-0.0340355667,-0.0116125049,0.0000195849
0.1096666667,0.0062878928,0.0001474585,0.0000000130,0.0049308953,0.0003400735,0.0000024101,-0.0339964791,-0.0115469865,0.0000155550
0.1098333333,0.0062734585,0.0001457990,0.0000000130,0.0049252324,0.0003381544,0.0000024124,-0.0339574363,-0.0114818375,0.0000116215
0.1100000000,0.0062590574,0.0001441582,0.0000000130,0.0049195761,0.0003362462,0.0000024140,-0.0339184384,-0.0114170559,0.0000077828
0.1101666667,0.0062446893,0.0001425358,0.0000000130,0.0049139262,0.0003343487,0.0000024150,-0.0338794853,-0.0113526395,0.0000040375
0.1103333333,0.0062303543,0.0001409317,0.0000000130,0.0049082829,0.0003324619,0.0000024153,-0.0338405768,-0.0112885863,0.0000003844
0.1105000000,0.0062160521,0.0001393457,0.0000000130,0.0049026460,0.0003305858,0.0000024151,-0.0338017131,-0.0112248943,-0.0000031782
0.1106666667,0.0062017827,0.0001377775,0.0000000130,0.0048970156,0.0003287202,0.0000024143,-0.0337628940,-0.0111615614,-0.0000066514
0.1108333333,0.0061875461,0.0001362269,0.0000000129,0.0048913917,0.0003268652,0.0000024129,-0.0337241195,-0.0110985857,-0.0000100367
0.1110000000,0.0061733422,0.0001346938,0.0000000129,0.0048857742,0.0003250206,0.0000024109,-0.0336853895,-0.0110359651,-0.0000133354
0.1111666667,0.0061591709,0.0001331779,0.0000000129,0.0048801631,0.0003231864,0.0000024085,-0.0336467040,-0.0109736975,-0.0000165490
0.1113333333,0.0061450322,0.0001316791,0.0000000129,0.0048745586,0.0003213626,0.0000024054,-0.0336080629,-0.0109117811,-0.0000196786
0.1115000000,0.0061309259,0.0001301972,0.0000000129,0.0048689604,0.0003195491,0.0000024019,-0.0335694661,-0.0108502139,-0.0000227256
0.1116666667,0.0061168519,0.0001287319,0.0000000129,0.0048633687,0.0003177458,0.0000023979,-0.0335309137,-0.0107889938,-0.0000256914
0.1118333333,0.0061028103,0.0001272832,0.0000000129,0.0048577834,0.0003159527,0.0000023933,-0.0334924056,-0.0107281190,-0.0000285772
0.1120000000,0.0060888009,0.0001258507,0.0000000129,0.0048522045,0.0003141697,0.0000023883,-0.0334539417,-0.0106675874,-0.0000313843
0.1121666667,0.0060748237,0.0001244343,0.0000000129,0.0048466321,0.0003123968,0.0000023829,-0.0334155219,-0.0106073972,-0.0000341140
0.1123333333,0.0060608785,0.0001230339,0.0000000129,0.0048410660,0.0003106339,0.0000023770,-0.0333771463,-0.0105475464,-0.0000367675
0.1125000000,0.0060469654,0.0001216493,0.0000000129,0.0048355063,0.0003088809,0.0000023706,-0.0333388147,-0.0104880332,-0.0000393460
0.1126666667,0.0060330842,0.0001202802,0.0000000128,0.0048299530,0.0003071378,0.0000023639,-0.0333005272,-0.0104288555,-0.0000418509
0.1128333333,0.0060192349,0.0001189265,0.0000000128,0.0048244061,0.0003054045,0.0000023567,-0.0332622836,-0.0103700116,-0.0000442832
0.1130000000,0.0060054173,0.0001175881,0.0000000128,0.0048188655,0.0003036811,0.0000023491,-0.0332240840,-0.0103114996,-0.0000466443
0.1131666667,0.0059916315,0.0001162647,0.0000000128,0.0048133313,0.0003019673,0.0000023411,-0.0331859282,-0.0102533175,-0.0000489352
0.1133333333,0.0059778773,0.0001149562,0.0000000127,0.0048078035,0.0003002632,0.0000023328,-0.0331478162,-0.0101954636,-0.0000511573
0.1135000000,0.0059641547,0.0001136625,0.0000000127,0.0048022820,0.0002985688,0.0000023241,-0.0331097480,-0.0101379359,-0.0000533116
0.1136666667,0.0059504636,0.0001123833,0.0000000127,0.0047967669,0.0002968839,0.0000023150,-0.0330717235,-0.0100807327,-0.0000553993
0.1138333333,0.0059368040,0.0001111185,0.0000000126,0.0047912581,0.0002952085,0.0000023056,-0.0330337427,-0.0100238521,-0.0000574216
0.1140000000,0.0059231757,0.0001098679,0.0000000126,0.0047857556,0.0002935425,0.0000022959,-0.0329958055,-0.0099672923,-0.0000593796
0.1141666667,0.0059095786,0.0001086314,0.0000000125,0.0047802594,0.0002918860,0.0000022858,-0.0329579118,-0.0099110515,-0.0000612743
0.1143333333,0.0058960128,0.0001074088,0.0000000125,0.0047747696,0.0002902388,0.0000022755,-0.0329200617,-0.0098551279,-0.0000631070
0.1145000000,0.0058824781,0.0001062000,0.0000000124,0.0047692861,0.0002886009,0.0000022648,-0.0328822551,-0.0097995197,-0.0000648786
0.1146666667,0.0058689745,0.0001050048,0.0000000124,0.0047638088,0.0002869722,0.0000022538,-0.0328444918,-0.0097442251,-0.0000665903
0.1148333333,0.0058555019,0.0001038230,0.0000000123,0.0047583378,0.0002853527,0.0000022426,-0.0328067719,-0.0096892424,-0.0000682432
0.1150000000,0.0058420602,0.0001026546,0.0000000123,0.0047528732,0.0002837424,0.0000022311,-0.0327690954,-0.0096345698,-0.0000698383
0.1151666667,0.0058286494,0.0001014992,0.0000000122,0.0047474148,0.0002821412,0.0000022193,-0.0327314621,-0.0095802056,-0.0000713766
0.1153333333,0.0058152694,0.0001003569,0.0000000121,0.0047419626,0.0002805489,0.0000022073,-0.0326938720,-0.0095261480,-0.0000728592
0.1155000000,0.0058019201,0.0000992274,0.0000000121,0.0047365168,0.0002789657,0.0000021950,-0.0326563251,-0.0094723953,-0.0000742871
0.1156666667,0.0057886014,0.0000981107,0.0000000120,0.0047310772,0.0002773914,0.0000021825,-0.0326188213,-0.0094189458,-0.0000756614
0.1158333333,0.0057753133,0.0000970065,0.0000000119,0.0047256438,0.0002758260,0.0000021698,-0.0325813606,-0.0093657978,-0.0000769829
0.1160000000,0.0057620557,0.0000959147,0.0000000119,0.0047202167,0.0002742694,0.0000021569,-0.0325439429,-0.0093129495,-0.0000782527
0.1161666667,0.0057488285,0.0000948353,0.0000000118,0.0047147958,0.0002727216,0.0000021437,-0.0325065681,-0.0092603994,-0.0000794718
0.1163333333,0.0057356317,0.0000937679,0.0000000117,0.0047093811,0.0002711826,0.0000021304,-0.0324692363,-0.0092081456,-0.0000806412
0.1165000000,0.0057224652,0.0000927126,0.0000000116,0.0047039727,0.0002696522,0.0000021169,-0.0324319474,-0.0091561866,-0.0000817617
0.1166666667,0.0057093289,0.0000916692,0.0000000115,0.0046985704,0.0002681305,0.0000021031,-0.0323947012,-0.0091045207,-0.0000828343
0.1168333333,0.0056962228,0.0000906375,0.0000000114,0.0046931744,0.0002666173,0.0000020892,-0.0323574979,-0.0090531462,-0.0000838599
0.1170000000,0.0056831467,0.0000896174,0.0000000114,0.0046877846,0.0002651127,0.0000020752,-0.0323203373,-0.0090020615,-0.0000848396
0.1171666667,0.0056701007,0.0000886088,0.0000000113,0.0046824009,0.0002636166,0.0000020610,-0.0322832193,-0.0089512649,-0.0000857740
0.1173333333,0.0056570846,0.0000876115,0.0000000112,0.0046770234,0.0002621289,0.0000020466,-0.0322461440,-0.0089007549,-0.0000866643
0.1175000000,0.0056440984,0.0000866255,0.0000000111,0.0046716522,0.0002606496,0.0000020321,-0.0322091113,-0.0088505298,-0.0000875112
0.1176666667,0.0056311420,0.0000856506,0.0000000110,0.0046662870,0.0002591787,0.0000020174,-0.0321721210,-0.0088005880,-0.0000883155
0.1178333333,0.0056182154,0.0000846866,0.0000000109,0.0046609281,0.0002577160,0.0000020026,-0.0321351733,-0.0087509279,-0.0000890783
0.1180000000,0.0056053184,0.0000837335,0.0000000108,0.0046555753,0.0002562616,0.0000019877,-0.0320982680,-0.0087015479,-0.0000898002
0.1181666667,0.0055924510,0.0000827911,0.0000000107,0.0046502286,0.0002548154,0.0000019727,-0.0320614051,-0.0086524465,-0.0000904822
0.1183333333,0.0055796132,0.0000818593,0.0000000106,0.0046448881,0.0002533774,0.0000019576,-0.0320245845,-0.0086036221,-0.0000911251
0.1185000000,0.0055668048,0.0000809380,0.0000000105,0.0046395537,0.0002519475,0.0000019423,-0.0319878062,-0.0085550731,-0.0000917296
