t,Ekin,Epot,Etot
0.0230000000,0.1123392252,0.0648523693,0.1771915945
0.0231666667,0.1152101377,0.0619797047,0.1771898423
0.0233333333,0.1179794005,0.0592087132,0.1771881137
0.0235000000,0.1206194033,0.0565670292,0.1771864325
0.0236666667,0.1231032947,0.0540815279,0.1771848226
0.0238333333,0.1254053626,0.0517779446,0.1771833072
0.0240000000,0.1275014056,0.0496805030,0.1771819086
0.0241666667,0.1293690877,0.0478115599,0.1771806476
0.0243333333,0.1309882705,0.0461912727,0.1771795432
0.0245000000,0.1323413172,0.0448372950,0.1771786122
0.0246666667,0.1334133606,0.0437645083,0.1771778689
0.0248333333,0.1341925313,0.0429847936,0.1771773249
0.0250000000,0.1346701418,0.0425068468,0.1771769886
0.0251666667,0.1348408217,0.0423360436,0.1771768653
0.0253333333,0.1347026020,0.0424743550,0.1771769569
0.0255000000,0.1342569470,0.0429203153,0.1771772623
0.0256666667,0.1335087325,0.0436690441,0.1771777766
0.0258333333,0.1324661715,0.0447123204,0.1771784919
0.0260000000,0.1311406878,0.0460387096,0.1771793974
0.0261666667,0.1295467411,0.0476337380,0.1771804791
0.0263333333,0.1277016064,0.0494801143,0.1771817207
0.0265000000,0.1256251123,0.0515579912,0.1771831036
0.0266666667,0.1233393428,0.0538452642,0.1771846070
0.0268333333,0.1208683090,0.0563179000,0.1771862091
0.0270000000,0.1182375970,0.0589502895,0.1771878865
0.0271666667,0.1154739974,0.0617156180,0.1771896154
0.0273333333,0.1126051253,0.0645862465,0.1771913718
0.0275000000,0.1096590359,0.0675340960,0.1771931319
0.0276666667,0.1066638430,0.0705310292,0.1771948723
0.0278333333,0.1036473484,0.0735492223,0.1771965707
0.0280000000,0.1006366858,0.0765615206,0.1771982064
0.0281666667,0.0976579875,0.0795417726,0.1771997600
0.0283333333,0.0947360771,0.0824651373,0.1772012144
0.0285000000,0.0918941941,0.0853083602,0.1772025544
0.0286666667,0.0891537530,0.0880500143,0.1772037673
0.0288333333,0.0865341394,0.0906707034,0.1772048429
0.0290000000,0.0840525475,0.0931532259,0.1772057734
0.0291666667,0.0817238560,0.0954826979,0.1772065539
0.0293333333,0.0795605469,0.0976466347,0.1772071816
0.0295000000,0.0775726639,0.0996349926,0.1772076565
0.0296666667,0.0757678099,0.1014401709,0.1772079808
0.0298333333,0.0741511816,0.1030569771,0.1772081587
0.0300000000,0.0727256393,0.1044825574,0.1772081967
0.0301666667,0.0714918067,0.1057162961,0.1772081028
0.0303333333,0.0704481996,0.1067596868,0.1772078864
0.0305000000,0.0695913785,0.1076161800,0.1772075585
0.0306666667,0.0689161197,0.1082910110,0.1772071307
0.0308333333,0.0684156033,0.1087910122,0.1772066155
0.0310000000,0.0680816119,0.1091244138,0.1772060258
0.0311666667,0.0679047361,0.1093006385,0.1772053746
0.0313333333,0.0678745832,0.1093300918,0.1772046750
0.0315000000,0.0679799854,0.1092239544,0.1772039398
0.0316666667,0.0682092032,0.1089939779,0.1772031811
0.0318333333,0.0685501221,0.1086522887,0.1772024108
0.0320000000,0.0689904378,0.1082112017,0.1772016395
0.0321666667,0.0695178306,0.1076830468,0.1772008774
0.0323333333,0.0701201237,0.1070800095,0.1772001332
0.0325000000,0.0707854268,0.1064139882,0.1771994150
0.0326666667,0.0715022619,0.1056964676,0.1771987295
0.0328333333,0.0722596718,0.1049384106,0.1771980823
0.0330000000,0.0730473110,0.1041501671,0.1771974781
