t,Ekin,Epot,Etot
0.2236666667,0.0004887230,0.0000406893,0.0005294124
0.2238333333,0.0004902043,0.0000411780,0.0005313824
0.2240000000,0.0004915814,0.0000417624,0.0005333438
0.2241666667,0.0004928537,0.0000424438,0.0005352975
0.2243333333,0.0004940204,0.0000432238,0.0005372441
0.2245000000,0.0004950810,0.0000441031,0.0005391841
0.2246666667,0.0004960350,0.0000450823,0.0005411173
0.2248333333,0.0004968818,0.0000461615,0.0005430433
0.2250000000,0.0004976211,0.0000473409,0.0005449620
0.2251666667,0.0004982524,0.0000486209,0.0005468733
0.2253333333,0.0004987754,0.0000500014,0.0005487768
0.2255000000,0.0004991898,0.0000514821,0.0005506720
0.2256666667,0.0004994954,0.0000530623,0.0005525577
0.2258333333,0.0004996919,0.0000547412,0.0005544331
0.2260000000,0.0004997792,0.0000565183,0.0005562975
0.2261666667,0.0004997571,0.0000583937,0.0005581508
0.2263333333,0.0004996256,0.0000603676,0.0005599932
0.2265000000,0.0004993848,0.0000624396,0.0005618243
0.2266666667,0.0004990346,0.0000646091,0.0005636437
0.2268333333,0.0004985752,0.0000668753,0.0005654505
0.2270000000,0.0004980067,0.0000692370,0.0005672438
0.2271666667,0.0004973292,0.0000716933,0.0005690225
0.2273333333,0.0004965430,0.0000742427,0.0005707858
0.2275000000,0.0004956485,0.0000768838,0.0005725322
0.2276666667,0.0004946458,0.0000796150,0.0005742608
0.2278333333,0.0004935355,0.0000824355,0.0005759710
0.2280000000,0.0004923180,0.0000853451,0.0005776631
0.2281666667,0.0004909936,0.0000883445,0.0005793381
0.2283333333,0.0004895629,0.0000914345,0.0005809974
0.2285000000,0.0004880266,0.0000946153,0.0005826419
0.2286666667,0.0004863853,0.0000978864,0.0005842717
0.2288333333,0.0004846395,0.0001012467,0.0005858862
0.2290000000,0.0004827902,0.0001046946,0.0005874848
0.2291666667,0.0004808380,0.0001082288,0.0005890667
0.2293333333,0.0004787837,0.0001118474,0.0005906311
0.2295000000,0.0004766283,0.0001155490,0.0005921773
0.2296666667,0.0004743726,0.0001193319,0.0005937045
0.2298333333,0.0004720177,0.0001231947,0.0005952124
0.2300000000,0.0004695645,0.0001271364,0.0005967009
0.2301666667,0.0004670141,0.0001311565,0.0005981705
0.2303333333,0.0004643676,0.0001352538,0.0005996214
0.2305000000,0.0004616261,0.0001394270,0.0006010531
0.2306666667,0.0004587909,0.0001436739,0.0006024648
0.2308333333,0.0004558631,0.0001479922,0.0006038553
0.2310000000,0.0004528441,0.0001523800,0.0006052241
0.2311666667,0.0004497352,0.0001568356,0.0006065708
