t,Ekin,Epot,Etot
0.0291666667,0.0553462222,0.0553691130,0.1107153352
0.0293333333,0.0553462445,0.0553690908,0.1107153353
0.0295000000,0.0553462730,0.0553690624,0.1107153354
0.0296666667,0.0553463093,0.0553690262,0.1107153355
0.0298333333,0.0553463555,0.0553689801,0.1107153356
0.0300000000,0.0553464141,0.0553689217,0.1107153358
0.0301666667,0.0553464882,0.0553688478,0.1107153361
0.0303333333,0.0553465818,0.0553687546,0.1107153364
0.0305000000,0.0553466996,0.0553686371,0.1107153367
0.0306666667,0.0553468476,0.0553684896,0.1107153372
0.0308333333,0.0553470331,0.0553683047,0.1107153377
0.0310000000,0.0553472648,0.0553680736,0.1107153384
0.0311666667,0.0553475537,0.0553677855,0.1107153392
0.0313333333,0.0553479130,0.0553674272,0.1107153402
0.0315000000,0.0553483587,0.0553669828,0.1107153414
0.0316666667,0.0553489102,0.0553664327,0.1107153429
0.0318333333,0.0553495908,0.0553657538,0.1107153447
0.0320000000,0.0553504288,0.0553649179,0.1107153468
0.0321666667,0.0553514579,0.0553638914,0.1107153493
0.0323333333,0.0553527184,0.0553626339,0.1107153523
0.0325000000,0.0553542584,0.0553610974,0.1107153558
0.0326666667,0.0553561353,0.0553592248,0.1107153601
0.0328333333,0.0553584166,0.0553569484,0.1107153650
0.0330000000,0.0553611826,0.0553541883,0.1107153709
0.0331666667,0.0553645275,0.0553508504,0.1107153778
0.0333333333,0.0553685619,0.0553468240,0.1107153859
0.0335000000,0.0553734153,0.0553419800,0.1107153953
0.0336666667,0.0553792389,0.0553361674,0.1107154063
0.0338333333,0.0553862081,0.0553292109,0.1107154189
0.0340000000,0.0553945263,0.0553209073,0.1107154336
0.0341666667,0.0554044283,0.0553110221,0.1107154504
0.0343333333,0.0554161845,0.0552992853,0.1107154698
0.0345000000,0.0554301045,0.0552853873,0.1107154918
0.0346666667,0.0554465424,0.0552689746,0.1107155170
0.0348333333,0.0554659011,0.0552496445,0.1107155455
0.0350000000,0.0554886374,0.0552269403,0.1107155777
0.0351666667,0.0555152677,0.0552003463,0.1107156140
0.0353333333,0.0555463729,0.0551692817,0.1107156547
0.0355000000,0.0555826042,0.0551330958,0.1107157000
0.0356666667,0.0556246885,0.0550910620,0.1107157505
0.0358333333,0.0556734336,0.0550423728,0.1107158063
0.0360000000,0.0557297336,0.0549861342,0.1107158679
0.0361666667,0.0557945737,0.0549213617,0.1107159353
0.0363333333,0.0558690337,0.0548469753,0.1107160090
0.0365000000,0.0559542920,0.0547617970,0.1107160889
0.0366666667,0.0560516277,0.0546645475,0.1107161752
0.0368333333,0.0561624219,0.0545538460,0.1107162679
0.0370000000,0.0562881571,0.0544282097,0.1107163668
0.0371666667,0.0564304153,0.0542860564,0.1107164717
