t,Ekin,Epot,Etot
0.4858333333,0.0001308348,0.0001291744,0.0002600092
0.4860000000,0.0001331591,0.0001274060,0.0002605652
0.4861666667,0.0001354965,0.0001256154,0.0002611119
0.4863333333,0.0001378460,0.0001238024,0.0002616485
0.4865000000,0.0001402069,0.0001219676,0.0002621744
0.4866666667,0.0001425781,0.0001201119,0.0002626900
0.4868333333,0.0001449589,0.0001182369,0.0002631957
0.4870000000,0.0001473483,0.0001163441,0.0002636924
0.4871666667,0.0001497454,0.0001144348,0.0002641802
0.4873333333,0.0001521493,0.0001125094,0.0002646587
0.4875000000,0.0001545591,0.0001105685,0.0002651275
0.4876666667,0.0001569737,0.0001086126,0.0002655864
0.4878333333,0.0001593923,0.0001066430,0.0002660353
0.4880000000,0.0001618138,0.0001046607,0.0002664745
0.4881666667,0.0001642373,0.0001026668,0.0002669041
0.4883333333,0.0001666618,0.0001006622,0.0002673240
0.4885000000,0.0001690864,0.0000986476,0.0002677340
0.4886666667,0.0001715099,0.0000966241,0.0002681339
0.4888333333,0.0001739313,0.0000945929,0.0002685242
0.4890000000,0.0001763497,0.0000925556,0.0002689053
0.4891666667,0.0001787639,0.0000905135,0.0002692774
0.4893333333,0.0001811731,0.0000884675,0.0002696405
0.4895000000,0.0001835761,0.0000864182,0.0002699943
0.4896666667,0.0001859719,0.0000843665,0.0002703384
0.4898333333,0.0001883594,0.0000823131,0.0002706726
0.4900000000,0.0001907376,0.0000802593,0.0002709969
0.4901666667,0.0001931054,0.0000782064,0.0002713118
0.4903333333,0.0001954617,0.0000761560,0.0002716177
0.4905000000,0.0001978054,0.0000741093,0.0002719148
0.4906666667,0.0002001356,0.0000720678,0.0002722034
0.4908333333,0.0002024511,0.0000700325,0.0002724836
0.4910000000,0.0002047509,0.0000680041,0.0002727550
0.4911666667,0.0002070339,0.0000659835,0.0002730174
0.4913333333,0.0002092989,0.0000639716,0.0002732705
0.4915000000,0.0002115450,0.0000619695,0.0002735145
0.4916666667,0.0002137710,0.0000599789,0.0002737499
0.4918333333,0.0002159758,0.0000580013,0.0002739771
0.4920000000,0.0002181585,0.0000560379,0.0002741965
0.4921666667,0.0002203179,0.0000540900,0.0002744079
0.4923333333,0.0002224530,0.0000521583,0.0002746113
0.4925000000,0.0002245627,0.0000502439,0.0002748065
0.4926666667,0.0002266459,0.0000483480,0.0002749938
0.4928333333,0.0002287016,0.0000464719,0.0002751735
0.4930000000,0.0002307287,0.0000446169,0.0002753456
0.4931666667,0.0002327263,0.0000427839,0.0002755102
0.4933333333,0.0002346932,0.0000409739,0.0002756672
0.4935000000,0.0002366285,0.0000391882,0.0002758167
0.4936666667,0.0002385310,0.0000374281,0.0002759590
0.4938333333,0.0002403998,0.0000356949,0.0002760947
0.4940000000,0.0002422339,0.0000339901,0.0002762240
0.4941666667,0.0002440323,0.0000323147,0.0002763470
0.4943333333,0.0002457941,0.0000306695,0.0002764636
0.4945000000,0.0002475182,0.0000290553,0.0002765735
0.4946666667,0.0002492037,0.0000274731,0.0002766768
0.4948333333,0.0002508495,0.0000259244,0.0002767740
0.4950000000,0.0002524549,0.0000244104,0.0002768653
0.4951666667,0.0002540187,0.0000229323,0.0002769510
0.4953333333,0.0002555403,0.0000214911,0.0002770314
0.4955000000,0.0002570186,0.0000200880,0.0002771066
0.4956666667,0.0002584527,0.0000187240,0.0002771767
0.4958333333,0.0002598418,0.0000174000,0.0002772418
0.4960000000,0.0002611850,0.0000161172,0.0002773021
0.4961666667,0.0002624815,0.0000148763,0.0002773578
0.4963333333,0.0002637305,0.0000136782,0.0002774087
0.4965000000,0.0002649311,0.0000125241,0.0002774552
0.4966666667,0.0002660826,0.0000114149,0.0002774976
0.4968333333,0.0002671842,0.0000103520,0.0002775362
0.4970000000,0.0002682352,0.0000093362,0.0002775714
0.4971666667,0.0002692347,0.0000083685,0.0002776032
0.4973333333,0.0002701823,0.0000074495,0.0002776318
0.4975000000,0.0002710771,0.0000065800,0.0002776571
0.4976666667,0.0002719184,0.0000057608,0.0002776793
0.4978333333,0.0002727057,0.0000049930,0.0002776987
0.4980000000,0.0002734384,0.0000042773,0.0002777157
0.4981666667,0.0002741157,0.0000036147,0.0002777304
0.4983333333,0.0002747372,0.0000030058,0.0002777430
0.4985000000,0.0002753024,0.0000024512,0.0002777536
0.4986666667,0.0002758108,0.0000019516,0.0002777624
0.4988333333,0.0002762618,0.0000015078,0.0002777696
0.4990000000,0.0002766550,0.0000011204,0.0002777754
0.4991666667,0.0002769901,0.0000007900,0.0002777801
0.4993333333,0.0002772667,0.0000005169,0.0002777836
0.4995000000,0.0002774844,0.0000003017,0.0002777861
0.4996666667,0.0002776430,0.0000001447,0.0002777877
0.4998333333,0.0002777423,0.0000000463,0.0002777886
0.5000000000,0.0002777820,0.0000000069,0.0002777889
0.5001666667,0.0002777620,0.0000000267,0.0002777887
0.5003333333,0.0002776822,0.0000001057,0.0002777879
0.5005000000,0.0002775426,0.0000002441,0.0002777867
0.5006666667,0.0002773434,0.0000004417,0.0002777850
0.5008333333,0.0002770845,0.0000006985,0.0002777830
0.5010000000,0.0002767661,0.0000010144,0.0002777805
0.5011666667,0.0002763885,0.0000013890,0.0002777774
0.5013333333,0.0002759519,0.0000018218,0.0002777737
0.5015000000,0.0002754567,0.0000023124,0.0002777691
0.5016666667,0.0002749034,0.0000028602,0.0002777635
0.5018333333,0.0002742924,0.0000034643,0.0002777567
0.5020000000,0.0002736244,0.0000041241,0.0002777486
0.5021666667,0.0002729000,0.0000048388,0.0002777387
0.5023333333,0.0002721197,0.0000056072,0.0002777269
0.5025000000,0.0002712844,0.0000064285,0.0002777129
0.5026666667,0.0002703949,0.0000073016,0.0002776965
0.5028333333,0.0002694518,0.0000082253,0.0002776771
0.5030000000,0.0002684561,0.0000091983,0.0002776545
0.5031666667,0.0002674086,0.0000102195,0.0002776281
0.5033333333,0.0002663101,0.0000112874,0.0002775974
0.5035000000,0.0002651614,0.0000124009,0.0002775623
0.5036666667,0.0002639635,0.0000135588,0.0002775223
0.5038333333,0.0002627172,0.0000147599,0.0002774771
0.5040000000,0.0002614234,0.0000160031,0.0002774265
0.5041666667,0.0002600828,0.0000172873,0.0002773702
0.5043333333,0.0002586963,0.0000186114,0.0002773077
0.5045000000,0.0002572648,0.0000199741,0.0002772389
0.5046666667,0.0002557891,0.0000213746,0.0002771636
0.5048333333,0.0002542700,0.0000228115,0.0002770815
0.5050000000,0.0002527084,0.0000242840,0.0002769924
0.5051666667,0.0002511053,0.0000257908,0.0002768961
0.5053333333,0.0002494616,0.0000273312,0.0002767928
0.5055000000,0.0002477781,0.0000289045,0.0002766826
0.5056666667,0.0002460560,0.0000305099,0.0002765658
0.5058333333,0.0002442961,0.0000321465,0.0002764427
0.5060000000,0.0002424996,0.0000338135,0.0002763130
0.5061666667,0.0002406674,0.0000355094,0.0002761768
0.5063333333,0.0002388005,0.0000372333,0.0002760339
0.5065000000,0.0002369001,0.0000389841,0.0002758843
0.5066666667,0.0002349672,0.0000407611,0.0002757284
0.5068333333,0.0002330028,0.0000425637,0.0002755665
0.5070000000,0.0002310079,0.0000443911,0.0002753990
0.5071666667,0.0002289835,0.0000462425,0.0002752260
0.5073333333,0.0002269305,0.0000481167,0.0002750471
0.5075000000,0.0002248498,0.0000500123,0.0002748622
0.5076666667,0.0002227426,0.0000519282,0.0002746708
0.5078333333,0.0002206097,0.0000538629,0.0002744726
0.5080000000,0.0002184522,0.0000558152,0.0002742674
0.5081666667,0.0002162710,0.0000577840,0.0002740551
0.5083333333,0.0002140673,0.0000597681,0.0002738353
0.5085000000,0.0002118420,0.0000617658,0.0002736078
0.5086666667,0.0002095964,0.0000637757,0.0002733721
0.5088333333,0.0002073316,0.0000657960,0.0002731276
0.5090000000,0.0002050486,0.0000678252,0.0002728737
0.5091666667,0.0002027486,0.0000698616,0.0002726101
0.5093333333,0.0002004327,0.0000719037,0.0002723365
0.5095000000,0.0001981021,0.0000739502,0.0002720524
0.5096666667,0.0001957579,0.0000759996,0.0002717575
0.5098333333,0.0001934010,0.0000780505,0.0002714515
0.5100000000,0.0001910327,0.0000801017,0.0002711344
0.5101666667,0.0001886539,0.0000821526,0.0002708065
0.5103333333,0.0001862656,0.0000842025,0.0002704682
0.5105000000,0.0001838690,0.0000862509,0.0002701199
0.5106666667,0.0001814650,0.0000882968,0.0002697619
0.5108333333,0.0001790548,0.0000903390,0.0002693938
0.5110000000,0.0001766394,0.0000923763,0.0002690157
0.5111666667,0.0001742198,0.0000944077,0.0002686276
0.5113333333,0.0001717972,0.0000964330,0.0002682302
0.5115000000,0.0001693726,0.0000984521,0.0002678246
0.5116666667,0.0001669470,0.0001004647,0.0002674116
0.5118333333,0.0001645214,0.0001024700,0.0002669914
0.5120000000,0.0001620967,0.0001044668,0.0002665635
0.5121666667,0.0001596739,0.0001064535,0.0002661274
0.5123333333,0.0001572540,0.0001084287,0.0002656827
0.5125000000,0.0001548378,0.0001103914,0.0002652292
0.5126666667,0.0001524263,0.0001123408,0.0002647671
0.5128333333,0.0001500204,0.0001142759,0.0002642962
0.5130000000,0.0001476210,0.0001161953,0.0002638164
0.5131666667,0.0001452292,0.0001180977,0.0002633270
0.5133333333,0.0001428459,0.0001199815,0.0002628274
0.5135000000,0.0001404720,0.0001218453,0.0002623173
0.5136666667,0.0001381084,0.0001236878,0.0002617962
0.5138333333,0.0001357561,0.0001255079,0.0002612640
0.5140000000,0.0001334160,0.0001273043,0.0002607203
0.5141666667,0.0001310888,0.0001290760,0.0002601649
0.5143333333,0.0001287755,0.0001308225,0.0002595979
0.5145000000,0.0001264767,0.0001325433,0.0002590200
0.5146666667,0.0001241934,0.0001342385,0.0002584318
0.5148333333,0.0001219262,0.0001359079,0.0002578341
0.5150000000,0.0001196761,0.0001375511,0.0002572272
0.5151666667,0.0001174437,0.0001391676,0.0002566113
0.5153333333,0.0001152299,0.0001407568,0.0002559867
0.5155000000,0.0001130354,0.0001423183,0.0002553537
0.5156666667,0.0001108609,0.0001438520,0.0002547129
0.5158333333,0.0001087071,0.0001453577,0.0002540648
0.5160000000,0.0001065748,0.0001468349,0.0002534097
0.5161666667,0.0001044644,0.0001482832,0.0002527476
0.5163333333,0.0001023766,0.0001497020,0.0002520786
0.5165000000,0.0001003120,0.0001510905,0.0002514025
0.5166666667,0.0000982712,0.0001524479,0.0002507191
0.5168333333,0.0000962548,0.0001537730,0.0002500279
0.5170000000,0.0000942635,0.0001550644,0.0002493278
0.5171666667,0.0000922977,0.0001563205,0.0002486182
0.5173333333,0.0000903580,0.0001575405,0.0002478985
0.5175000000,0.0000884451,0.0001587240,0.0002471692
0.5176666667,0.0000865594,0.0001598713,0.0002464308
0.5178333333,0.0000847015,0.0001609825,0.0002456840
0.5180000000,0.0000828716,0.0001620572,0.0002449288
0.5181666667,0.0000810704,0.0001630944,0.0002441648
0.5183333333,0.0000792981,0.0001640935,0.0002433915
0.5185000000,0.0000775552,0.0001650540,0.0002426092
0.5186666667,0.0000758421,0.0001659770,0.0002418190
0.5188333333,0.0000741592,0.0001668634,0.0002410226
0.5190000000,0.0000725068,0.0001677143,0.0002402211
0.5191666667,0.0000708854,0.0001685299,0.0002394153
0.5193333333,0.0000692951,0.0001693097,0.0002386048
0.5195000000,0.0000677363,0.0001700530,0.0002377894
0.5196666667,0.0000662093,0.0001707594,0.0002369687
0.5198333333,0.0000647142,0.0001714290,0.0002361432
0.5200000000,0.0000632513,0.0001720619,0.0002353132
0.5201666667,0.0000618207,0.0001726577,0.0002344784
0.5203333333,0.0000604227,0.0001732156,0.0002336384
0.5205000000,0.0000590575,0.0001737348,0.0002327923
0.5206666667,0.0000577252,0.0001742145,0.0002319397
0.5208333333,0.0000564260,0.0001746549,0.0002310809
0.5210000000,0.0000551601,0.0001750561,0.0002302162
0.5211666667,0.0000539275,0.0001754183,0.0002293458
0.5213333333,0.0000527284,0.0001757411,0.0002284695
0.5215000000,0.0000515627,0.0001760243,0.0002275870
0.5216666667,0.0000504304,0.0001762679,0.0002266983
0.5218333333,0.0000493317,0.0001764728,0.0002258044
0.5220000000,0.0000482664,0.0001766403,0.0002249067
0.5221666667,0.0000472347,0.0001767720,0.0002240067
0.5223333333,0.0000462365,0.0001768689,0.0002231054
0.5225000000,0.0000452718,0.0001769310,0.0002222029
0.5226666667,0.0000443405,0.0001769582,0.0002212987
0.5228333333,0.0000434425,0.0001769500,0.0002203926
0.5230000000,0.0000425778,0.0001769067,0.0002194845
0.5231666667,0.0000417461,0.0001768287,0.0002185747
0.5233333333,0.0000409473,0.0001767164,0.0002176637
0.5235000000,0.0000401813,0.0001765702,0.0002167514
0.5236666667,0.0000394479,0.0001763897,0.0002158376
0.5238333333,0.0000387470,0.0001761747,0.0002149217
0.5240000000,0.0000380784,0.0001759249,0.0002140032
0.5241666667,0.0000374419,0.0001756400,0.0002130819
0.5243333333,0.0000368373,0.0001753203,0.0002121576
0.5245000000,0.0000362642,0.0001749662,0.0002112305
0.5246666667,0.0000357225,0.0001745785,0.0002103010
0.5248333333,0.0000352119,0.0001741585,0.0002093703
0.5250000000,0.0000347320,0.0001737075,0.0002084395
0.5251666667,0.0000342826,0.0001732270,0.0002075096
0.5253333333,0.0000338633,0.0001727178,0.0002065811
0.5255000000,0.0000334740,0.0001721803,0.0002056542
0.5256666667,0.0000331142,0.0001716147,0.0002047289
0.5258333333,0.0000327836,0.0001710216,0.0002038051
0.5260000000,0.0000324818,0.0001704016,0.0002028834
0.5261666667,0.0000322084,0.0001697557,0.0002019641
0.5263333333,0.0000319631,0.0001690843,0.0002010474
0.5265000000,0.0000317454,0.0001683876,0.0002001330
0.5266666667,0.0000315549,0.0001676654,0.0001992203
0.5268333333,0.0000313913,0.0001669174,0.0001983088
0.5270000000,0.0000312542,0.0001661440,0.0001973982
0.5271666667,0.0000311430,0.0001653456,0.0001964886
0.5273333333,0.0000310574,0.0001645227,0.0001955801
0.5275000000,0.0000309969,0.0001636762,0.0001946731
0.5276666667,0.0000309609,0.0001628068,0.0001937677
0.5278333333,0.0000309491,0.0001619154,0.0001928646
0.5280000000,0.0000309609,0.0001610037,0.0001919647
0.5281666667,0.0000309959,0.0001600732,0.0001910692
0.5283333333,0.0000310536,0.0001591254,0.0001901790
0.5285000000,0.0000311335,0.0001581610,0.0001892945
0.5286666667,0.0000312351,0.0001571803,0.0001884153
0.5288333333,0.0000313578,0.0001561832,0.0001875411
0.5290000000,0.0000315012,0.0001551703,0.0001866715
0.5291666667,0.0000316648,0.0001541422,0.0001858069
0.5293333333,0.0000318478,0.0001531000,0.0001849478
0.5295000000,0.0000320500,0.0001520444,0.0001840944
0.5296666667,0.0000322708,0.0001509757,0.0001832464
0.5298333333,0.0000325095,0.0001498937,0.0001824032
0.5300000000,0.0000327657,0.0001487981,0.0001815638
0.5301666667,0.0000330389,0.0001476892,0.0001807280
0.5303333333,0.0000333284,0.0001465678,0.0001798962
0.5305000000,0.0000336337,0.0001454354,0.0001790691
0.5306666667,0.0000339542,0.0001442940,0.0001782482
0.5308333333,0.0000342894,0.0001431449,0.0001774343
0.5310000000,0.0000346387,0.0001419894,0.0001766281
0.5311666667,0.0000350017,0.0001408279,0.0001758296
0.5313333333,0.0000353777,0.0001396610,0.0001750387
0.5315000000,0.0000357662,0.0001384892,0.0001742554
0.5316666667,0.0000361666,0.0001373131,0.0001734797
0.5318333333,0.0000365784,0.0001361335,0.0001727120
0.5320000000,0.0000370011,0.0001349513,0.0001719524
0.5321666667,0.0000374340,0.0001337666,0.0001712006
0.5323333333,0.0000378767,0.0001325796,0.0001704563
0.5325000000,0.0000383286,0.0001313903,0.0001697189
0.5326666667,0.0000387892,0.0001301989,0.0001689881
0.5328333333,0.0000392579,0.0001290062,0.0001682641
0.5330000000,0.0000397342,0.0001278130,0.0001675472
0.5331666667,0.0000402175,0.0001266202,0.0001668377
0.5333333333,0.0000407073,0.0001254286,0.0001661359
0.5335000000,0.0000412030,0.0001242392,0.0001654422
0.5336666667,0.0000417042,0.0001230529,0.0001647571
0.5338333333,0.0000422104,0.0001218710,0.0001640814
0.5340000000,0.0000427210,0.0001206947,0.0001634158
0.5341666667,0.0000432356,0.0001195250,0.0001627606
0.5343333333,0.0000437537,0.0001183619,0.0001621156
0.5345000000,0.0000442747,0.0001172052,0.0001614799
0.5346666667,0.0000447982,0.0001160547,0.0001608528
0.5348333333,0.0000453236,0.0001149104,0.0001602341
0.5350000000,0.0000458507,0.0001137733,0.0001596239
0.5351666667,0.0000463788,0.0001126441,0.0001590229
0.5353333333,0.0000469076,0.0001115234,0.0001584310
0.5355000000,0.0000474365,0.0001104114,0.0001578480
0.5356666667,0.0000479652,0.0001093082,0.0001572734
0.5358333333,0.0000484931,0.0001082139,0.0001567071
0.5360000000,0.0000490199,0.0001071295,0.0001561494
0.5361666667,0.0000495451,0.0001060560,0.0001556011
0.5363333333,0.0000500683,0.0001049947,0.0001550630
0.5365000000,0.0000505892,0.0001039464,0.0001545356
0.5366666667,0.0000511075,0.0001029116,0.0001540190
0.5368333333,0.0000516226,0.0001018905,0.0001535131
