x,y
0.450502,0.144308
0.45019,0.145068
0.449876,0.145828
0.449561,0.146587
0.449245,0.147345
0.448926,0.148103
0.448606,0.148861
0.448285,0.149618
0.447961,0.150374
0.447636,0.15113
0.447309,0.151885
0.446981,0.15264
0.446651,0.153394
0.446319,0.154147
0.445985,0.1549
0.44565,0.155653
0.445313,0.156404
0.444975,0.157155
0.444635,0.157906
0.444293,0.158656
0.443949,0.159405
0.443604,0.160154
0.443257,0.160902
0.442909,0.16165
0.442559,0.162397
0.442207,0.163143
0.441853,0.163889
0.441498,0.164634
0.441141,0.165379
0.440783,0.166123
0.440423,0.166866
0.440061,0.167608
0.439697,0.16835
0.439332,0.169092
0.438965,0.169833
0.438597,0.170573
0.438227,0.171312
0.437855,0.172051
0.437481,0.172789
0.437106,0.173526
0.436729,0.174263
0.436351,0.174999
0.435971,0.175735
0.435589,0.17647
0.435206,0.177204
0.434821,0.177937
0.434434,0.17867
0.434046,0.179402
0.433655,0.180134
0.433264,0.180864
0.43287,0.181594
0.432475,0.182324
0.432079,0.183052
0.43168,0.18378
0.431281,0.184508
0.430879,0.185234
0.430476,0.18596
0.430071,0.186685
0.429664,0.18741
0.429256,0.188133
0.428846,0.188856
0.428435,0.189578
0.428022,0.1903
0.427607,0.191021
0.42719,0.191741
0.426772,0.19246
0.426353,0.193179
0.425931,0.193897
0.425508,0.194614
0.425084,0.19533
0.424657,0.196046
0.424229,0.19676
0.4238,0.197475
0.423369,0.198188
0.422936,0.1989
0.422501,0.199612
0.422065,0.200323
0.421628,0.201033
0.421188,0.201743
0.420747,0.202451
0.420305,0.203159
0.419861,0.203866
0.419415,0.204573
0.418967,0.205278
0.418518,0.205983
0.418067,0.206687
0.417615,0.20739
0.417161,0.208092
0.416705,0.208794
0.416248,0.209494
0.415789,0.210194
0.415329,0.210893
0.414866,0.211592
0.414403,0.212289
0.413937,0.212985
0.41347,0.213681
0.413002,0.214376
0.412531,0.21507
0.41206,0.215763
0.411586,0.216456
0.411111,0.217147
0.410634,0.217838
0.410156,0.218528
0.409676,0.219217
0.409195,0.219905
0.408711,0.220592
0.408227,0.221278
0.40774,0.221964
0.407252,0.222648
0.406763,0.223332
0.406271,0.224015
0.405779,0.224697
0.405284,0.225378
0.404788,0.226058
0.404291,0.226737
0.403791,0.227415
0.403291,0.228093
0.402788,0.22877
0.402284,0.229445
0.401779,0.23012
0.401271,0.230794
0.400763,0.231467
0.400252,0.232139
0.39974,0.23281
0.399227,0.23348
0.398711,0.234149
0.398195,0.234817
0.397676,0.235485
0.397156,0.236151
0.396635,0.236816
0.396111,0.237481
0.395587,0.238144
0.39506,0.238807
0.394533,0.239469
0.394003,0.240129
0.393472,0.240789
0.392939,0.241448
0.392405,0.242105
0.391869,0.242762
0.391332,0.243418
0.390793,0.244073
0.390252,0.244727
0.38971,0.24538
0.389167,0.246031
0.388621,0.246682
0.388074,0.247332
0.387526,0.247981
0.386976,0.248629
0.386424,0.249276
0.385871,0.249921
0.385317,0.250566
0.38476,0.25121
0.384203,0.251853
0.383643,0.252495
0.383082,0.253135
0.38252,0.253775
0.381956,0.254414
0.38139,0.255051
0.380823,0.255688
0.380254,0.256323
0.379684,0.256958
0.379112,0.257591
0.378538,0.258224
0.377963,0.258855
0.377387,0.259485
0.376809,0.260114
0.376229,0.260742
0.375648,0.26137
0.375065,0.261995
0.374481,0.26262
0.373895,0.263244
0.373308,0.263867
0.372719,0.264488
0.372128,0.265109
0.371536,0.265728
