t,x,v,Ekin,Epot,Etot
20.305000000000,0.115029453003,-0.992346310477,0.492375599958,0.006615887529,0.498991487488
20.310000000000,0.110066305500,-0.992908554730,0.492933699028,0.006057295803,0.498990994831
20.315000000000,0.105100408828,-0.993445976045,0.493467453660,0.005523047968,0.498990501628
20.320000000000,0.100131887134,-0.993958561001,0.493976810494,0.005013197410,0.498990007904
20.325000000000,0.095160864633,-0.994446296794,0.494461718604,0.004527795079,0.498989513683
20.330000000000,0.090187465601,-0.994909171244,0.494922129513,0.004066889476,0.498989018989
20.335000000000,0.085211814375,-0.995347172792,0.495357997192,0.003630526655,0.498988523847
20.340000000000,0.080234035347,-0.995760290499,0.495769278067,0.003218750214,0.498988028281
20.345000000000,0.075254252961,-0.996148514050,0.496155931022,0.002831601294,0.498987532316
20.350000000000,0.070272591713,-0.996511833752,0.496517917404,0.002469118573,0.498987035977
20.355000000000,0.065289176145,-0.996850240536,0.496855201028,0.002131338261,0.498986539289
20.360000000000,0.060304130843,-0.997163725952,0.497167748177,0.001818294098,0.498986042275
20.365000000000,0.055317580434,-0.997452282176,0.497455527609,0.001530017353,0.498985544962
20.370000000000,0.050329649582,-0.997715902007,0.497718510559,0.001266536814,0.498985047372
20.375000000000,0.045340462986,-0.997954578867,0.497956670741,0.001027878792,0.498984549533
20.380000000000,0.040350145375,-0.998168306801,0.498169984351,0.000814067116,0.498984051467
20.385000000000,0.035358821508,-0.998357080480,0.498358430072,0.000625123129,0.498983553201
20.390000000000,0.030366616169,-0.998520895195,0.498521989070,0.000461065689,0.498983054759
20.395000000000,0.025373654161,-0.998659746863,0.498660645003,0.000321911163,0.498982556165
20.400000000000,0.020380060311,-0.998773632027,0.498774384017,0.000207673429,0.498982057446
20.405000000000,0.015385959457,-0.998862547852,0.498863194751,0.000118363874,0.498981558625
20.410000000000,0.010391476452,-0.998926492127,0.498927068336,0.000053991391,0.498981059728
20.415000000000,0.005396736157,-0.998965463265,0.498965998399,0.000014562381,0.498980560779
20.420000000000,0.000401863443,-0.998979460306,0.498979981057,0.000000080747,0.498980061804
20.425000000000,-0.004593016821,-0.998968482912,0.498969014926,0.000010547902,0.498979562827
20.430000000000,-0.009587779763,-0.998932531369,0.498933101114,0.000045962760,0.498979063874
20.435000000000,-0.014582300513,-0.998871606590,0.498872243225,0.000106321744,0.498978564970
20.440000000000,-0.019576454209,-0.998785710108,0.498786447358,0.000191618780,0.498978066138
20.445000000000,-0.024570115998,-0.998674844086,0.498675722105,0.000301845300,0.498977567405
20.450000000000,-0.029563161039,-0.998539011306,0.498540078550,0.000436990245,0.498977068795
20.455000000000,-0.034555464505,-0.998378215177,0.498379530270,0.000597040064,0.498976570333
20.460000000000,-0.039546901592,-0.998192459731,0.498194093332,0.000781978713,0.498976072044
20.465000000000,-0.044537347512,-0.997981749624,0.497983786292,0.000991787662,0.498975573953
20.470000000000,-0.049526677505,-0.997746090138,0.497748630193,0.001226445892,0.498975076085
20.475000000000,-0.054514766840,-0.997485487175,0.497488648562,0.001485929902,0.498974578464
20.480000000000,-0.059501490815,-0.997199947264,0.497203867411,0.001770213705,0.498974081116
20.485000000000,-0.064486724763,-0.996889477554,0.496894315229,0.002079268835,0.498973584065
20.490000000000,-0.069470344054,-0.996554085822,0.496560022984,0.002413064352,0.498973087336
20.495000000000,-0.074452224099,-0.996193780463,0.496201024116,0.002771566837,0.498972590953
20.500000000000,-0.079432240351,-0.995808570498,0.495817354538,0.003154740404,0.498972094942
20.505000000000,-0.084410268312,-0.995398465569,0.495409052628,0.003562546698,0.498971599326
20.510000000000,-0.089386183532,-0.994963475941,0.494976159229,0.003994944903,0.498971104132
20.515000000000,-0.094359861615,-0.994503612503,0.494518717640,0.004451891742,0.498970609382
20.520000000000,-0.099331178220,-0.994018886761,0.494036773619,0.004933341483,0.498970115103
20.525000000000,-0.104300009066,-0.993509310849,0.493530375371,0.005439245946,0.498969621317
20.530000000000,-0.109266229933,-0.992974897516,0.492999573548,0.005969554502,0.498969128050
20.535000000000,-0.114229716667,-0.992415660135,0.492444421241,0.006524214085,0.498968635326
20.540000000000,-0.119190345184,-0.991831612701,0.491864973977,0.007103169193,0.498968143169
20.545000000000,-0.124147991468,-0.991222769826,0.491261289711,0.007706361893,0.498967651604
20.550000000000,-0.129102531582,-0.990589146745,0.490633428824,0.008333731830,0.498967160655
20.555000000000,-0.134053841662,-0.989930759309,0.489981454113,0.008985216232,0.498966670345
20.560000000000,-0.139001797928,-0.989247623991,0.489305430786,0.009660749914,0.498966180700
20.565000000000,-0.143946276684,-0.988539757882,0.488605426457,0.010360265286,0.498965691742
20.570000000000,-0.148887154318,-0.987807178691,0.487881511136,0.011083692361,0.498965203497
20.575000000000,-0.153824307313,-0.987049904744,0.487133757227,0.011830958760,0.498964715987
20.580000000000,-0.158757612239,-0.986267954985,0.486362239515,0.012601989722,0.498964229237
20.585000000000,-0.163686945769,-0.985461348976,0.485567035163,0.013396708108,0.498963743271
20.590000000000,-0.168612184669,-0.984630106895,0.484748223702,0.014215034409,0.498963258111
20.595000000000,-0.173533205812,-0.983774249533,0.483905887022,0.015056886760,0.498962773782
20.600000000000,-0.178449886174,-0.982893798301,0.483040109369,0.015922180938,0.498962290307
20.605000000000,-0.183362102842,-0.981988775221,0.482150977330,0.016810830379,0.498961807710
